price_usd,living_space_ft2,lot_size_ft2,home_age,distance_city_mi,crime_rate_index,condition,waterfront,home_type,heating_type,region
667693.97,2128.8,6515.9,31,5.55,3.9973,excellent,No,single_family,gas,south
515238.32,1834.8,5207.9,14,15.24,3.2662,poor,No,single_family,gas,west
502775.2,1680.4,2333.7,11,2.1,2.5059,poor,No,condo,oil,west
408315.31,1836.7,6793.3,96,0.61,4.2406,good,No,townhouse,electric,west
353829.77,1005,6695.6,108,8.48,2.1735,fair,No,townhouse,electric,south
484914.18,1712.1,10783.6,77,7.99,2.1277,good,No,townhouse,oil,east
419803.48,1942.8,8577,56,7.09,0,excellent,No,condo,electric,north
560795.37,2391.2,4439.5,7,11.98,2.3352,good,No,single_family,gas,north
372464.34,1592.7,11635.2,71,4.37,4.5705,excellent,No,single_family,electric,east
295736.66,1476.6,10052.6,26,8.26,0.5132,poor,No,townhouse,electric,east
370979.85,1599.3,8455.2,61,6.56,1.8577,fair,No,single_family,electric,west
577102.24,2166.2,6433.8,11,4.44,3.5269,poor,Yes,single_family,electric,north
508252.34,1931.5,4601.4,64,7.75,0.3062,good,Yes,condo,electric,east
347526.05,1588.1,6069.5,106,11.41,2.3872,excellent,No,townhouse,gas,west
482245.3,2005.3,9721.9,103,16.48,4.369,poor,No,single_family,gas,north
517404.82,1838.8,11711.5,41,10.32,5.4516,good,No,single_family,oil,south
556077.25,2187.5,10858.1,61,0.5,3.3483,good,No,condo,gas,south
355989.8,1519.2,5777.9,114,7.85,1.8882,excellent,No,single_family,gas,north
497194.68,1668.9,4201,10,8.2,1.8478,fair,No,townhouse,gas,north
379380.59,1643.2,7352.2,102,11.74,3.1739,fair,No,townhouse,gas,south
291365.92,1214.6,2578.9,42,8.74,3.3372,poor,No,townhouse,gas,south
404198.8,1918.4,7807.9,94,13.01,5.2295,good,No,condo,electric,north
534314.7,1904.4,6631,16,9.57,4.165,fair,No,single_family,electric,west
463506.08,1802,5834.9,96,14.24,3.1009,excellent,Yes,single_family,electric,east
513891.06,1706.2,3013.2,31,6.25,2.5978,good,No,townhouse,electric,east
341000.24,1233.9,8284,92,8.58,6.6177,good,No,single_family,gas,north
460666.2,1631.7,5668.2,84,11.31,3.7519,good,No,single_family,electric,east
445158.86,1662.9,4075.2,84,5.71,2.1975,poor,No,townhouse,gas,south
423746.96,1479.1,1500,39,4.84,2.7305,good,No,single_family,oil,south
566715.5,1735.5,6931.2,22,5.48,1.9471,excellent,No,townhouse,oil,east
555927.86,1961.6,11430.6,55,5,0.1145,excellent,No,single_family,oil,north
687577.91,2554.5,11153.1,5,10.09,3.3752,excellent,No,condo,electric,south
417277.28,1869.8,5857.3,85,0.66,5.1389,excellent,No,single_family,gas,west
471143.51,1903,5494.5,49,1.78,1.0433,fair,Yes,condo,electric,west
340684.98,1770.2,8171.9,101,15.45,3.0663,fair,No,single_family,gas,south
371088.85,1032.5,4504,36,5.1,2.1517,poor,Yes,single_family,gas,south
500825.81,1789.4,7754.5,108,8.8,3.6258,good,Yes,townhouse,gas,east
437776.46,1824.1,8915.2,63,2.04,2.7932,fair,No,townhouse,gas,north
626908.54,2785.3,10067.3,114,8.38,1.3679,good,No,townhouse,gas,east
409006.23,1723.1,6749.6,53,5.12,1.8227,good,No,single_family,electric,north
603986.52,1920.6,6490.8,71,1.75,2.0036,excellent,Yes,townhouse,electric,west
306590.32,1786.1,4805,104,13.35,4.6132,good,No,single_family,gas,west
395066.62,1332.5,4932.8,48,12.73,4.5519,excellent,No,townhouse,gas,north
552172.49,2257.1,6433.8,98,7.57,2.6264,poor,No,condo,oil,east
469156.52,2100.8,7918.4,114,12,4.4734,poor,No,condo,electric,south
470365.48,2116.4,9284,10,15.61,2.7922,good,No,condo,gas,north
305117.89,1436.2,4992.1,87,11.02,2.608,fair,No,single_family,gas,east
618565.26,2361.1,10731.7,48,9.92,3.0685,fair,No,single_family,gas,west
442404.19,1239.3,6322.2,20,8.8,3.3418,good,No,townhouse,gas,south
492770.67,2034.7,6946.6,114,10.6,2.3335,fair,No,single_family,oil,west
659299.97,2676.2,5132,65,6.54,3.0262,good,No,condo,electric,north
303314.28,1403.8,1500,62,6.89,3.9448,good,No,single_family,oil,west
303297.36,1573.5,9210.1,103,9.8,3.1554,good,No,condo,electric,west
431240.36,1839.9,8842.1,82,6.1,3.0513,good,No,single_family,electric,north
371647.18,1598.6,6296.7,102,6.54,3.593,good,Yes,single_family,gas,south
347343.57,1179.7,7167.5,27,8,3.8,fair,No,condo,gas,north
487725.94,1827.4,8289.8,16,12.6,2.9249,fair,No,single_family,gas,east
506836.46,1375.1,3093.6,5,3.47,2.431,good,No,condo,gas,north
490481.56,1989.4,5677.4,18,11.04,3.227,good,No,townhouse,gas,north
352098.88,1432.2,8985.7,55,11.17,1.0872,good,No,condo,electric,south
549479.88,2420,3864.3,101,11.14,2.7476,good,No,townhouse,oil,east
439402.27,1486.7,7733.9,27,4.77,0.0341,fair,No,condo,electric,west
473911.69,1671.2,3608.5,65,1.23,0.989,good,No,townhouse,gas,west
510438.37,2125.4,8166.1,37,10.24,0.8086,good,No,townhouse,electric,west
336771.26,1307.7,6910.9,118,8.75,4.2568,good,No,townhouse,gas,west
411403.12,1891,2962.2,36,12.02,3.0168,good,No,single_family,gas,south
559885.47,2322.9,9911.8,114,5.2,1.4855,good,No,single_family,electric,east
289014.2,1157,5163.5,115,11.04,3.5893,good,No,townhouse,electric,south
397476.53,1873.9,4974.4,67,12.22,4.1864,good,No,condo,electric,north
479913.72,1904,7501.4,85,7.62,3.6102,fair,No,townhouse,electric,east
444520.87,2112.7,9871.6,89,9.67,2.7735,good,No,single_family,electric,east
341024.53,1305.2,4460.4,48,9.53,3.279,fair,No,single_family,gas,west
338877.31,1271.8,7154.2,42,4.71,4.0818,poor,No,townhouse,gas,west
420463.67,2008.8,8072,35,10.12,2.4369,excellent,No,condo,gas,west
478813.78,1918.8,8732.8,57,14.49,3.0358,excellent,No,townhouse,gas,west
572725.65,1900.2,7441.1,12,8.09,2.6914,poor,No,townhouse,gas,north
496734.42,1938.6,6082.4,51,2.16,1.0639,good,No,single_family,gas,west
378316.46,1528,4931,57,5.25,4.0999,fair,No,single_family,gas,south
431651.3,1892.9,7215.4,31,0.88,5.4687,good,No,condo,gas,east
322815.07,1917.2,4319.7,80,13.16,1.9514,excellent,No,single_family,gas,north
385780.59,1514.3,1500,104,11.06,4.1552,excellent,No,townhouse,electric,north
467038.24,2546.3,8091.4,99,5.99,1.9896,good,No,townhouse,gas,east
416649.81,1989.5,9259.8,118,2.33,3.1593,good,Yes,single_family,gas,east
393783.6,1323.5,1500,59,4.67,4.8096,good,No,single_family,electric,east
480795.94,2062.6,4475.7,109,5.45,2.3755,good,No,townhouse,gas,north
390861.77,1410.1,8547.9,82,8.44,2.9824,excellent,No,townhouse,electric,south
526042.78,2114.8,12143.7,57,8.3,0.8382,excellent,No,single_family,electric,south
461277.98,2263.4,7052,98,13.37,2.203,good,No,single_family,electric,east
325504.41,1471.7,5180,109,5.23,0.7125,good,Yes,townhouse,gas,north
483992.48,2185.4,6542.8,103,1.97,3.515,fair,No,townhouse,gas,west
497832.13,1965.1,10437.2,55,3.37,3.998,poor,No,townhouse,gas,north
445217.62,2128.8,5385.1,27,7.91,2.734,excellent,No,single_family,electric,east
598170.61,2558.7,5002,0,5.09,3.3431,good,No,single_family,gas,north
440564.78,1701.8,5793.1,41,6.83,2.6091,good,No,townhouse,gas,north
362058.43,1498.5,4616.7,81,6.18,3.8887,good,No,single_family,electric,north
373386.58,1444.2,7306.7,47,11.96,3.1554,excellent,No,single_family,gas,west
484394.6,1473.7,11061.7,39,5.65,0.6172,fair,No,townhouse,electric,east
468519.39,1769.2,7807.7,96,6.49,4.128,excellent,No,condo,electric,east
543725.57,1936.5,6369.1,62,10.87,2.5325,excellent,Yes,single_family,gas,east
398771.42,1910.7,6270.5,75,5.74,1.4755,excellent,No,single_family,gas,south
466135.94,2130.9,3092,71,9.69,2.4733,good,No,single_family,electric,south
503487,1805.2,9207.8,87,9.33,0.7175,fair,No,single_family,electric,east
448208.58,2381.4,6805.4,79,8.57,1.5001,good,No,townhouse,electric,north
359679.18,1694.1,6548.8,113,3.46,3.1715,good,Yes,condo,electric,north
640838.67,2888.1,14982.8,3,12.92,3.2721,fair,No,single_family,electric,east
575946.9,2050.3,7746.9,37,16.88,3.3677,good,No,townhouse,electric,west
311424.16,1457.1,5120.5,107,8.04,3.0039,good,No,single_family,gas,west
488829.77,1371.6,5934.1,26,3.81,2.1686,excellent,No,single_family,gas,north
533729.58,1993,9871.1,8,8.12,2.9346,poor,No,single_family,gas,north
328734.64,1710.6,7283.2,110,11.96,2.4754,good,No,townhouse,gas,south
691696.82,2085.6,3404.3,15,5.54,1.0491,good,No,single_family,electric,west
511913.84,1989.3,9298.1,55,7.48,2.0731,good,No,single_family,electric,north
449214.47,1770.9,5329.6,75,9.36,4.0674,excellent,No,single_family,gas,north
428888.03,1461.3,11683.2,30,12.81,4.906,good,No,townhouse,electric,east
344923.85,1194.1,9700.1,87,11.1,3.7815,excellent,No,condo,electric,south
466555.62,1621.4,5881.7,118,11.27,4.8524,good,No,condo,electric,west
654987.36,2142.6,10202.5,13,6.29,3.1025,good,No,townhouse,gas,west
374375.89,1885.6,7169.6,108,9.61,5.0909,poor,No,townhouse,gas,south
512781.71,1301.7,9131.9,24,5.11,5.4654,poor,No,single_family,oil,north
445286.5,1869.3,8211.8,33,11.38,0.9198,fair,No,single_family,gas,west
465946.22,1954.1,4884.1,66,12.6,3.2658,fair,Yes,single_family,gas,west
340169.53,1446.5,5391.1,23,10.21,3.1037,fair,No,single_family,electric,west
482372.65,1861.5,9574.9,117,6.53,2.4911,fair,No,condo,electric,east
403504.94,1823.3,6163.1,105,7.19,3.5903,poor,No,single_family,electric,south
279692.85,1342.8,5990.9,72,15.23,3.0494,excellent,Yes,townhouse,electric,west
570928.44,1943.1,4612.2,25,6.6,2.1175,poor,No,condo,electric,south
583136.45,2024.3,8059,19,12.2,2.9681,good,No,townhouse,electric,north
598175.85,2233.2,12156.3,63,9.36,4.4455,fair,No,single_family,electric,south
417418.52,2221.5,4331.2,103,6.66,3.219,excellent,No,single_family,electric,east
511970.25,1248.9,7060.5,9,2.62,3.7523,excellent,No,condo,oil,east
365801.09,1424.9,10530.6,82,8.85,2.6675,good,No,single_family,gas,south
582845.97,2006,6800.9,66,8.36,3.5425,good,No,townhouse,oil,east
521948.29,2005.5,8130.9,23,15.23,1.5489,poor,No,condo,electric,west
561479.51,2006,4344,4,4.56,2.4003,excellent,No,single_family,gas,east
664764.07,3341.1,8070.8,66,17.18,2.8768,excellent,No,single_family,electric,north
491408.75,2028.4,6532.1,57,9.52,1.4684,excellent,No,single_family,electric,south
524388.45,2254.2,9464.3,26,9.51,2.0037,good,No,single_family,electric,south
466538.88,2181.6,9968.5,79,5.63,3.3757,good,No,single_family,oil,north
443787.18,2060.6,13473.9,112,9.26,3.1558,excellent,Yes,single_family,oil,north
526392.66,1673.9,8449.1,14,9.89,3.9676,fair,No,single_family,electric,north
442461.15,2103.6,7814.5,34,11.75,2.2794,good,No,single_family,electric,north
484160.76,1490.9,7486,75,4.09,3.0691,poor,No,single_family,gas,west
387683.75,1705.3,6117.1,104,13.63,2.1938,excellent,No,single_family,electric,east
465435.65,1605.9,7846.2,52,9.45,3.8474,fair,No,condo,electric,east
499646.78,1832.7,6261.5,43,10.43,4.4289,fair,No,single_family,electric,west
689367.19,2725.9,7421.2,25,7.12,3.58,good,No,townhouse,gas,north
365936.33,1053.1,10294,46,4.29,4.2734,good,No,townhouse,electric,south
514743.73,2074.5,4483.6,33,8.29,3.039,good,No,single_family,electric,south
369947.5,1154.9,9849.7,86,8.75,3.9667,fair,No,condo,electric,south
380579.91,1611.2,10292.8,94,2.46,3.0905,poor,No,single_family,gas,north
466796.25,2235.6,6704.8,49,11.17,1.7701,good,No,single_family,oil,west
388224.35,1825.7,1695.4,83,11.99,3.2961,excellent,No,townhouse,electric,west
456171.79,1368.9,5480.4,11,5.08,1.8056,excellent,No,townhouse,gas,west
503365.98,1513.9,10242.5,86,3.91,5.807,good,No,single_family,gas,east
557256.34,2071.8,6942.8,3,6.79,2.5991,excellent,No,townhouse,oil,east
483401.41,1507.9,4501.7,86,8.1,3.774,good,No,townhouse,gas,east
512533.17,1886.6,5738.1,47,6.94,2.9851,good,Yes,townhouse,gas,east
451172.79,1818.2,9101.6,54,7.76,1.5197,good,No,single_family,gas,south
434159.4,1539.4,8366.8,111,8.89,0.7218,good,No,single_family,electric,south
660781.38,2657.6,6402.7,0,2.53,3.8988,good,No,single_family,gas,west
485259.5,2053.6,6082.9,117,2.99,4.8592,good,No,townhouse,oil,east
269995.56,989.9,6020.6,88,0.5,2.1182,good,No,single_family,gas,west
374329.53,1874.6,4694,65,11.77,1.012,fair,No,single_family,oil,north
470444.33,1535.3,11038.4,29,8.06,2.6098,poor,No,townhouse,gas,east
594190.23,2141,6194.2,2,12.19,1.8755,good,No,single_family,gas,east
562476.01,1483,10042.9,20,3.45,2.2196,fair,Yes,single_family,gas,west
389984.74,1754.1,10803.3,88,8.1,3.7324,fair,No,single_family,gas,west
545893.32,2002,9495.8,83,8.86,2.9394,good,No,condo,gas,north
601450.93,2146.3,5920.9,48,5.75,2.0046,good,No,condo,oil,west
339170.14,1319.9,8009.3,115,1.79,3.7062,good,No,townhouse,gas,east
446091.63,1666.2,6939.5,85,14.98,3.8002,good,No,townhouse,gas,south
426165.75,1610,4740.7,84,13.6,2.5955,excellent,No,single_family,gas,north
472434.36,1538.7,7810.9,61,6.47,3.1655,excellent,No,condo,electric,north
636199.28,2506.2,4052.4,96,10.04,3.6246,excellent,No,single_family,electric,east
511159.3,1962,9969.2,115,6.06,3.5113,good,No,townhouse,oil,south
304825.63,1295.6,5838.5,37,4.02,3.0487,good,No,townhouse,gas,west
532714.69,2167.1,7502.9,14,15.31,4.7191,excellent,No,single_family,electric,west
507322.79,2648.9,7708.2,109,1.38,3.6992,fair,No,townhouse,electric,south
543787.34,2213,6352.7,51,6.86,2.4592,fair,No,single_family,gas,south
350579.58,1192.3,8466.7,78,8.34,2.4664,good,No,condo,gas,east
378853.78,1606.3,5812.7,45,14.6,2.3303,poor,No,townhouse,gas,west
498833.72,2306.8,9178.2,24,11.59,3.7585,excellent,No,single_family,gas,east
445849.78,1516.9,3635.1,20,1.31,2.2527,good,No,single_family,electric,west
451101.48,1977.5,7315.9,87,7.99,2.4901,good,No,townhouse,electric,west
546418.95,2109.9,11847.3,4,8.08,4.2696,good,No,townhouse,electric,south
395499.3,1429.2,4499.2,69,7.09,3.23,good,No,single_family,gas,east
415766.7,1776.2,5305.6,112,10.48,4.4382,poor,No,single_family,electric,south
235221.76,600,8284.8,106,2.36,3.9577,good,No,single_family,gas,east
423721.63,1390.2,7449,111,6.37,1.588,good,No,townhouse,gas,west
392223.21,1699,7876.6,107,9.92,2.8774,good,No,single_family,gas,north
418522.27,1300.9,8223,46,10.72,4.1879,good,No,condo,oil,north
533818.64,2453,8586.8,86,8.6,1.5334,fair,No,condo,electric,east
502901.99,1227.9,9774.2,67,6.85,3.5037,fair,No,single_family,gas,east
433883.07,1624,8024.5,90,7.52,2.9529,fair,No,condo,electric,south
568878.36,1852.3,6396.9,17,10.96,0.8943,good,No,condo,electric,west
551605.8,2376.5,8681.4,20,8.14,3.1436,excellent,No,townhouse,gas,north
344579.66,1225.7,11749.7,91,3.83,1.995,excellent,Yes,townhouse,electric,south
521509.18,2265.3,6668.4,98,3.07,1.5988,good,No,single_family,gas,east
589282.2,1804.1,4563.7,85,2.04,3.011,good,Yes,single_family,gas,west
331107.53,1407.4,9767.7,103,13.82,0.683,good,No,townhouse,electric,south
466561.58,1984.8,6699,22,11.23,2.1909,fair,No,single_family,electric,south
520421.13,1879.6,1568.3,63,7.57,6.0614,fair,No,single_family,gas,east
425390.15,1559.9,9118.6,66,6.18,3.7803,excellent,Yes,single_family,gas,west
480447.92,1827.9,5661.7,39,5.7,1.9423,good,No,townhouse,gas,north
333053.62,1645.9,6773.7,113,12.37,4.685,excellent,No,single_family,gas,south
497073.14,1845.4,7830,9,15.62,1.8095,good,No,single_family,gas,east
548141.14,2064.9,7476.2,88,5.58,2.3356,good,No,condo,gas,south
587596.72,2434.4,8773.6,51,12.55,1.6214,fair,No,condo,electric,east
311159.64,1304.9,5911.3,112,8.11,3.3073,fair,No,condo,gas,east
541283.6,2653.2,8282.8,71,7.15,4.6424,good,No,single_family,gas,east
50000,1019.2,6351.1,118,14.02,1.8012,good,No,condo,gas,west
397149.72,1739.3,8847,74,7.96,0.5275,fair,No,single_family,gas,north
465189.64,2035.3,8538.4,60,9.19,4.3092,fair,No,condo,oil,west
453978.95,1912.4,4661.4,63,8.99,4.8646,poor,Yes,single_family,electric,north
490913.48,1550.9,9715,4,1.5,0.6059,good,No,townhouse,oil,east
539187.17,1716.8,5660.1,108,9.15,3.5521,good,Yes,single_family,gas,north
470128.41,1602.8,9020.1,52,5.75,3.2718,poor,No,single_family,gas,west
394484.59,1564.3,7918.2,54,2.32,2.055,fair,No,condo,electric,south
585059.3,2139.8,11595.5,36,5.93,1.3268,fair,No,townhouse,electric,west
508686.81,1942.8,6441.3,55,5.9,4.1901,good,No,condo,gas,west
336445.17,1522.8,6126.7,58,12.12,3.2149,poor,No,single_family,gas,west
511417.68,2159.8,6951.5,108,3.74,3.3053,good,No,single_family,electric,west
487402.33,1922.9,6242.1,101,4.84,2.2539,poor,No,condo,gas,west
537137.55,2125.1,8999.9,92,8.94,2.0377,fair,No,condo,electric,north
432207.14,2051.9,2959.2,68,2.7,0.054,excellent,No,townhouse,oil,north
433935.04,1468.4,4365.8,72,5.36,2.7264,good,No,single_family,gas,south
516838.22,1575.9,4330.5,58,1.34,4.7266,poor,No,single_family,electric,west
547872.18,2098.9,9375.8,111,11.68,1.9317,excellent,No,single_family,gas,west
497819.35,2044.1,11276.5,1,6.79,1.1731,good,No,townhouse,oil,south
443864.08,1791.6,6738.9,64,7.94,3.5228,excellent,No,condo,electric,south
406747.6,1846.9,6577.9,103,11.66,3.7441,good,No,single_family,gas,east
589470.56,2311.1,7175.1,59,5.11,2.2969,good,No,condo,gas,south
428552.3,1563.4,9904.7,50,6.75,2.5815,excellent,No,single_family,gas,south
500486.66,2018.8,4681.6,29,3.77,3.3167,fair,No,townhouse,electric,south
514886.59,1719.1,7595.9,10,3.77,2.8133,good,No,condo,electric,east
416936.78,1712.9,9438,91,4.32,4.2002,good,No,single_family,gas,north
522558.16,2239.5,8252.7,107,6.03,5.9247,poor,No,single_family,electric,east
475266.1,2130.2,7474,75,6.46,0.949,poor,No,single_family,gas,north
475109.11,2125.4,9502.6,38,9.15,4.4757,fair,No,condo,electric,south
596717.18,2322.2,1500,89,4.44,3.1263,good,No,condo,gas,east
553110.92,1808.4,8694.7,76,9.28,4.6658,good,No,single_family,gas,east
570647.6,2072.8,5364.8,71,9.94,3.8692,good,No,single_family,gas,north
432361.57,1675.9,2423.4,62,6.13,3.0734,poor,No,single_family,gas,east
545798.67,1929.7,8278,63,4.78,3.912,good,Yes,condo,oil,east
419077.96,1747.9,10434.1,60,8.34,2.527,excellent,No,single_family,gas,west
501894.99,1838.8,6656.4,53,7.19,2.0708,good,No,single_family,electric,north
436714.36,2038.1,9382.2,91,8.88,3.973,good,No,single_family,gas,east
418466,1472.7,11030.7,93,14.28,1.9868,good,No,single_family,oil,east
642950.86,2637,10287.3,72,8.27,3.7708,good,No,townhouse,electric,south
480450.24,1397.6,11099.9,102,5.44,3.0369,good,No,single_family,electric,west
367299.21,1314.3,8855.3,94,4.44,0.2047,excellent,No,single_family,electric,west
633863.54,2263.2,7188.6,57,4.59,2.3107,good,No,single_family,electric,south
538811.64,2116.7,2995.1,84,2.15,3.4018,excellent,No,single_family,gas,south
487237.19,2049.6,6384.8,55,11.73,2.5128,fair,No,single_family,gas,south
515389.34,2051.3,4891.9,110,0.5,0,fair,No,single_family,oil,south
552405.74,1795.1,12427.4,33,9.95,4.5849,poor,No,condo,gas,west
361596.83,1441.1,6560.3,118,4.53,3.2033,good,No,condo,electric,east
490361.99,1830.3,7308,30,5.95,3.5325,good,No,townhouse,electric,east
334368.93,1529.1,8378.7,51,4.41,2.4321,fair,No,condo,oil,south
461483.62,2190,7109,88,13.78,3.6378,fair,No,townhouse,electric,north
448031.43,1741.2,11237.6,75,8.07,5.2018,excellent,No,townhouse,electric,south
396089.99,1469.8,5443.4,0,11.16,2.1179,excellent,No,townhouse,oil,east
359774.65,1671.4,7486.5,54,13.2,5.0004,good,No,townhouse,gas,north
418668.87,1965.2,5143.8,21,8.65,3.4783,good,No,condo,electric,south
432649.89,1574.5,3699.9,39,3.22,1.9567,good,No,condo,gas,north
436575.56,1471.1,5470.6,100,7.12,5.6549,good,No,single_family,oil,south
372401.87,1897.5,6907.4,110,5.03,3.47,excellent,No,single_family,electric,west
567304,1898,5926.7,0,5.99,3.8118,fair,No,townhouse,gas,east
465575.47,1597.2,5268.9,64,7.62,2.6768,good,Yes,single_family,electric,south
546932.64,1611.6,3484.2,62,7.46,2.0444,good,No,single_family,gas,north
479773.38,1892.8,6792.2,105,9.65,3.2014,good,No,townhouse,oil,east
389038.25,1220.8,3238.2,53,10.23,4.8978,good,No,single_family,oil,south
404828.74,1237,8900.1,41,7.46,2.6284,good,No,single_family,electric,south
435340.02,1512.6,7206.1,20,9.61,2.9679,fair,No,single_family,electric,south
470604.48,1714.6,3356.1,78,5.8,4.7476,good,No,townhouse,electric,south
497671.76,1924.4,6227,80,13.26,2.6396,fair,No,single_family,gas,west
598555.65,2390.1,5119.6,21,5.74,3.6123,fair,Yes,condo,electric,east
